,year_month,year,month_num,month,no_of_rainy_days,maximum_rainfall_in_a_day,total_rainfall,mean_rh,rh_extremes_minimum,mean_sunshine_hrs,mean_temp,max_temperature,temp_extremes_min,temp_mean_daily_max,temp_mean_daily_min
103,1990-08,1990,8,Aug,13,38.3,146.6,82.3,46,5.8,28.0,33.9,21.1,31.4,25.1
104,1990-09,1990,9,Sep,17,44.5,204.5,83.2,39,5.1,27.2,33.3,21.2,31.3,24.2
105,1990-10,1990,10,Oct,12,20.2,56.4,83.5,50,5.9,27.5,33.3,23.7,31.8,24.9
106,1990-11,1990,11,Nov,17,46.9,180.4,83.5,49,4.6,27.2,34.0,22.4,31.3,24.7
107,1990-12,1990,12,Dec,16,33.5,201.1,86.0,58,5.5,26.3,31.8,22.9,30.2,24.1
108,1991-01,1991,1,Jan,13,36.2,123.9,84.1,50,5.6,26.7,33.1,22.7,30.9,24.2
109,1991-02,1991,2,Feb,7,17.9,45.5,81.6,51,7.0,27.1,33.5,22.7,31.8,24.1
110,1991-03,1991,3,Mar,10,48.6,92.4,79.9,50,7.1,27.8,34.0,22.5,32.4,24.7
111,1991-04,1991,4,Apr,13,32.2,134.2,84.3,49,5.8,27.7,34.1,22.8,32.3,24.7
112,1991-05,1991,5,May,23,44.0,256.4,86.6,57,5.1,27.7,33.2,22.6,31.5,25.0
113,1991-06,1991,6,Jun,9,55.6,88.7,81.0,56,7.1,28.6,33.6,23.5,32.2,25.8
114,1991-07,1991,7,Jul,8,10.7,37.3,78.7,44,6.7,28.5,34.0,23.1,32.1,25.7
115,1991-08,1991,8,Aug,8,129.9,226.2,79.8,43,5.3,28.2,33.6,22.4,32.2,25.3
116,1991-09,1991,9,Sep,12,53.6,123.1,83.0,58,4.1,27.5,32.5,23.0,31.3,24.7
117,1991-10,1991,10,Oct,5,20.4,52.0,81.4,40,4.2,27.5,33.4,22.9,31.8,24.7
118,1991-11,1991,11,Nov,19,75.2,205.0,86.5,53,3.5,26.3,32.6,22.0,30.6,23.6
119,1991-12,1991,12,Dec,19,79.4,492.3,90.7,61,3.0,25.6,31.5,22.2,29.1,23.4
