year,month_num,month,rainy_days,highest_daily_rainfall,total_rainfall,mean_relative_humidity,mean_sunshine_hours,mean_temp,temp_mean_daily_max,temp_mean_daily_min
1991,4,Apr,13,32.2,134.2,84.3,5.8,27.7,32.3,24.7
1991,5,May,23,44.0,256.4,86.6,5.1,27.7,31.5,25.0
1991,6,Jun,9,55.6,88.7,81.0,7.1,28.6,32.2,25.8
1991,7,Jul,8,10.7,37.3,78.7,6.7,28.5,32.1,25.7
1991,8,Aug,8,129.9,226.2,79.8,5.3,28.2,32.2,25.3
1991,9,Sep,12,53.6,123.1,83.0,4.1,27.5,31.3,24.7
1991,10,Oct,5,20.4,52.0,81.4,4.2,27.5,31.8,24.7
1991,11,Nov,19,75.2,205.0,86.5,3.5,26.3,30.6,23.6
1991,12,Dec,19,79.4,492.3,90.7,3.0,25.6,29.1,23.4
1992,1,Jan,9,56.2,83.9,82.4,6.6,26.6,30.7,23.8
1992,2,Feb,4,43.2,62.4,80.5,7.7,27.5,32.1,24.3
1992,3,Mar,6,35.1,67.6,80.6,7.4,28.2,33.0,25.0
1992,4,Apr,13,94.7,160.3,82.4,6.4,28.4,32.9,25.1
1992,5,May,13,13.7,63.1,83.3,5.7,28.1,32.5,25.1
1992,6,Jun,14,38.4,162.8,82.7,5.5,28.0,32.0,24.9
1992,7,Jul,19,97.3,290.8,83.8,4.7,27.3,30.9,24.2
1992,8,Aug,11,31.0,76.1,81.1,5.7,27.8,31.4,24.3
1992,9,Sep,13,17.5,83.6,82.9,5.0,27.3,31.5,24.5
1992,10,Oct,20,45.5,233.2,82.0,4.5,27.4,31.4,24.3
1992,11,Nov,18,120.6,474.3,87.7,3.7,26.1,30.0,23.7
1992,12,Dec,23,105.7,502.7,90.3,3.4,25.5,29.2,23.4
1993,1,Jan,11,37.2,176.4,85.7,5.5,26.2,29.9,23.8
1993,2,Feb,8,27.0,69.2,80.5,8.5,26.7,31.4,23.8
1993,3,Mar,14,56.9,250.5,86.3,5.4,26.7,30.7,24.0
1993,4,Apr,20,56.7,283.9,84.5,6.4,27.6,31.9,24.4
1993,5,May,10,37.2,129.9,82.9,6.0,28.2,31.9,25.4
1993,6,Jun,17,29.4,115.5,80.9,6.2,28.5,31.9,25.4
1993,7,Jul,15,46.4,240.0,83.2,5.2,27.9,31.1,25.2
1993,8,Aug,11,53.5,106.8,79.4,7.4,28.6,32.1,25.4
1993,9,Sep,7,42.0,61.7,81.4,5.9,27.9,31.7,24.9
1993,10,Oct,13,62.7,175.5,84.3,5.2,27.5,31.6,24.7
1993,11,Nov,18,61.3,250.8,87.4,4.7,26.9,30.9,24.2
1993,12,Dec,19,67.6,308.5,87.4,4.2,26.5,30.3,24.0
1994,1,Jan,7,17.5,56.9,82.1,6.1,26.9,30.9,24.1
1994,2,Feb,15,26.3,133.5,84.5,6.4,27.0,31.6,24.0
1994,3,Mar,19,64.2,288.2,87.1,3.5,26.8,30.5,24.2
1994,4,Apr,15,46.3,154.0,84.8,5.8,27.9,31.9,24.8
1994,5,May,16,45.1,169.6,84.8,5.0,28.1,31.1,25.1
1994,6,Jun,14,61.1,184.7,83.5,6.0,28.1,31.3,25.2
1994,7,Jul,6,17.0,53.8,78.9,7.6,28.4,31.6,25.7
1994,8,Aug,12,15.5,45.1,80.0,6.5,28.1,31.9,25.2
1994,9,Sep,6,11.3,23.7,78.7,3.8,28.3,31.9,25.5
1994,10,Oct,11,35.4,84.7,81.5,4.5,27.9,32.1,24.6
1994,11,Nov,21,178.3,322.2,88.4,4.5,26.7,30.5,24.0
1994,12,Dec,18,133.8,425.4,85.5,5.3,26.9,30.7,24.1
1995,1,Jan,21,108.3,349.4,86.2,5.0,26.8,30.6,24.1
1995,2,Feb,16,159.3,334.0,87.5,4.9,26.5,29.9,23.9
1995,3,Mar,10,31.1,67.7,83.9,5.9,27.6,31.8,24.6
1995,4,Apr,16,73.6,242.3,85.3,5.6,27.9,32.0,25.0
1995,5,May,11,32.8,84.4,83.7,6.0,28.5,32.3,25.6
1995,6,Jun,12,45.0,63.7,81.9,6.6,28.9,32.7,25.8
1995,7,Jul,13,52.3,173.6,82.6,5.2,28.0,31.2,25.2
1995,8,Aug,21,37.9,211.6,85.6,4.1,27.4,30.6,24.6
1995,9,Sep,7,5.7,29.5,81.6,5.8,28.3,32.0,25.1
1995,10,Oct,12,37.1,101.1,82.8,4.7,27.8,32.1,24.8
1995,11,Nov,20,198.6,372.8,86.8,3.7,27.0,31.0,24.1
1995,12,Dec,20,55.6,302.5,86.6,3.1,26.3,29.5,23.9
1996,1,Jan,10,39.0,173.2,84.2,5.2,26.2,30.1,23.4
1996,2,Feb,11,53.0,180.2,84.6,5.8,26.5,30.2,24.0
1996,3,Mar,8,61.8,129.7,81.0,7.7,27.8,32.4,24.5
1996,4,Apr,15,55.7,178.2,85.5,5.4,27.8,31.7,24.9
1996,5,May,15,18.6,107.5,83.7,7.0,28.5,32.4,25.2
1996,6,Jun,15,94.3,265.8,84.3,5.9,28.3,32.0,25.3
1996,7,Jul,10,55.3,162.3,81.9,6.7,28.3,31.5,25.4
1996,8,Aug,18,64.6,258.4,83.4,5.0,27.4,31.4,24.3
1996,9,Sep,18,66.5,297.0,82.2,4.8,27.7,31.1,24.6
1996,10,Oct,19,45.8,300.0,83.0,4.3,27.5,31.2,24.4
1996,11,Nov,16,60.5,180.2,83.5,4.4,27.3,31.5,24.6
1996,12,Dec,15,72.4,185.5,82.9,4.5,26.6,30.7,23.9
